Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20150624,18141.47,17966.07,104979517,-3.205543991,45.17619253,178,18008.61709,17993.131,174.9,18072.342,116.61,0.653297075,-0.004063335,-4886799.756,95.2772,0.13
20150625,17977.11,17890.36,78993189,-12.41355286,-12.26407627,145.74,17997.35451,17978.23,-14.12,18027.246,123.81,0.696871368,-0.000473774,-5355311.726,95.2119,0.13
20150626,17892.03,17892.03,158115783,-14.99357629,-15.81118787,111.11,17992.52836,17983.014,10.94,18013.392,182.64,1.028144499,0.008665112,-3945229.9,95.4284,0.13
20150629,17936.74,17590.55,116337391,-44.79064792,-178.5051625,356.13,17954.79709,17963.532,-519.49,17908.706,-404.05,-2.244672341,-0.017209659,-4229895.326,94.9534,0.14
20150630,17599.96,17576.5,126464435,-65.77797585,-177.9003981,138.16,17922.86499,17935.035,-396.44,17803.794,-419.86,-2.327464873,-0.017631277,-4833371.533,95.5016,0.08
20150701,17638.12,17638.12,87006636,-70.43097665,-101.2979005,182.32,17907.15499,17917.252,-386.16,17762.162,-140.93,-0.787369461,-0.019757847,-3981115.089,96.2528,0.13
20150702,17763.32,17687.52,83099424,-75.4915217,-77.64643005,137.97,17890.29356,17878.679,-235.96,17730.112,-61.06,-0.34320396,-0.015865941,-3157391.142,96.1261,0.13
20150706,17728.08,17564.36,90130260,-82.30782882,-106.8822571,170,17870.60656,17845.442,-263.1,17677.492,-252.16,-1.40590798,-0.02407314,-3549356.455,96.2564,0.13
20150707,17684.92,17465.68,105838256,-79.26513123,-84.07411515,327.77,17861.68307,17811.155,180.56,17713.604,-338.93,-1.870904137,-0.020235813,-3152711.51,96.7403,0.13
20150708,17759.01,17496.22,69825587,-96.83754615,-99.40085165,280.69,17828.70564,17748.29,-104.09,17692.786,-500.53,-2.778260375,-0.025083393,-4068226.414,96.2079,0.13
20150709,17530.38,17530.38,100524068,-106.8531129,-79.4431336,249.43,17802.03082,17706.545,-209.29,17650.928,-595.45,-3.281788485,-0.019101907,-3247924.19,96.4315,0.13
20150710,17561.12,17561.12,85798190,-96.58743878,-39.18491548,248.87,17798.06693,17693.55,30.3,17656.988,-205.66,-1.14471334,-0.010379078,-2101676.023,95.8468,0.13
20150713,17787.27,17787.27,86381639,-70.11174041,58.18597768,227.16,17815.17294,17696.65,247.57,17715.808,87.32,0.488084086,0.021211302,-500590.9057,96.7929,0.13
20150714,17974.61,17956.17,76744768,-42.51497684,121.0376865,116.65,17837.87837,17742.373,370,17771.142,106.9,0.595653346,0.024043431,44575.90892,96.6523,0.13
20150715,18053.38,18010.15,80455694,-20.68110251,129.0381215,80.24,17858.09662,17785.439,273.26,17878.092,453.82,2.579057589,0.016191537,-802349.2721,97.1565,0.13
20150716,18078.16,18065.33,85029365,2.251318721,135.0856359,81.44,17883.06361,17821.673,604.83,17992.418,500.74,2.841963256,0.021530608,-576618.7766,97.6552,0.14
20150717,18117.58,18032.06,106512740,17.49636306,110.9045606,89.06,17902.43374,17857.307,537.83,18057.626,328.54,1.850105108,0.022274686,-307003.7283,97.9635,0.13
20150720,18085.91,18064.5,75056744,30.3547156,97.23857913,72.62,17921.28862,17898.99,340,18082.172,370.3,2.088537522,0.017872523,318819.4552,98.0731,0.14
20150721,18096.67,17868.34,100172053,25.63468165,39.44041864,232.07,17921.09828,17913.228,-58.39,18055.314,189.18,1.066998456,0.022538281,-1082889.256,97.3371,0.13
20150722,17918.35,17807.41,112374843,16.20007179,-1.979923153,111.94,17914.42606,17946.79,-202.54,18015.488,167.46,0.946980193,0.01694131,-1911264.274,97.4347,0.13
20150723,17853.78,17705.03,88602277,-0.878782908,-39.29662597,155.92,17897.04453,17965.12,-318.25,17937.822,-44.99,-0.253081104,-0.00160413,-3306603.104,97.2223,0.13
20150724,17731.05,17553.73,103471357,-27.28359747,-92.06534266,202.81,17865.75743,17945.932,-551.72,17834.238,53.11,0.303218535,-0.022758776,-1717658.998,97.2414,0.13
20150727,17561.78,17399.17,117864365,-57.86624594,-134.8821357,169.36,17825.2653,17892.223,-645.86,17702.274,-108.03,-0.615603962,-0.03395393,-3061373.095,96.5452,0.14
20150728,17449.81,17449.81,103451096,-66.03639792,-95.19282712,209.48,17806.69432,17849.892,-470.14,17644.47,-130.14,-0.732753354,-0.023262939,-2338960.259,96.6519,0.14
20150729,17631.4,17629.2,93143692,-62.02296831,-49.93322958,147.58,17801.42724,17820.014,-167.9,17624.54,-226.29,-1.258727489,-0.020356231,-531859.7897,97.1898,0.14
20150730,17743.24,17640.85,76646141,-58.60329589,-51.55546336,120.4,17796.14655,17782.587,-105.06,17627.352,-307.6,-1.703817193,-0.01882459,-44219.50972,97.485,0.14
20150731,17755.87,17671.59,106116132,-59.73303065,-45.1769324,112,17786.02402,17742.928,-42.06,17651.618,-360.31,-1.996158485,-0.022681807,-1459209.038,97.2276,0.08
20150803,17696.74,17496.61,87880002,-67.24934101,-75.76868523,208.15,17768.13602,17692.707,29.67,17683.14,-522.05,-2.881030891,-0.017918679,-731357.5549,97.4863,0.14
20150804,17596.93,17505.5,99063734,-76.16178542,-80.28763919,130.28,17747.42687,17655.847,110.1,17667.224,-535.76,-2.962217572,-0.01682535,-1261912.805,97.9392,0.14
20150805,17555.24,17492.9,102446946,-83.09179986,-74.11233054,168.47,17727.7167,17624.79,-89.8,17625.04,-559.94,-3.093521086,-0.010796913,-1988375.06,97.9178,0.14
20150806,17542.61,17362.86,96168008,-97.20446873,-112.9415712,209.18,17698.38653,17593.573,-331.64,17559.794,-499.54,-2.787722058,-0.008468551,-2353185.19,97.8139,0.14
20150807,17414.94,17279.08,81801228,-110.8526911,-146.076339,140.67,17667.43353,17574.058,-372.6,17496.498,-477.66,-2.675810485,-0.003853654,-2367488.502,97.6178,0.14
20150810,17375.18,17375.18,92426375,-100.9943732,-42.864279,255.75,17662.45605,17591.516,-74.69,17499.892,-116.75,-0.658417137,-0.000856481,-1791072.294,97.1855,0.14
20150811,17593.59,17352.63,103011382,-109.0576925,-90.94463285,262.54,17637.73071,17568.773,-195.36,17470.322,-165.69,-0.943106794,-0.019635082,-1959296.517,97.198,0.15
20150812,17382.93,17125.81,120399972,-114.1586099,-152.6965434,298.09,17615.32874,17533.885,-148.18,17442.73,-38.08,-0.218341237,-0.019354806,-1958412.117,96.3251,0.15
20150813,17401.64,17341.34,88548268,-116.3962107,-76.65694191,140.44,17595.60696,17500.112,-132.22,17440.43,-222.02,-1.2593114,-0.015919289,-2640123.631,96.3754,0.15
