Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080818,21163.0098,20751.1406,131843.4,-336.7031249,-148.2161301,455.459,21888.72869,21673.15916,-954.541,21283.63436,-1759.9297,-7.920556998,-0.070364452,-740787.4105,77.18,1.61
20080819,20675.75,20484.3691,138787.35,-406.542584,-151.0625424,446.3008,21754.98016,21470.10408,-1374.9707,21052.33006,-2246.7305,-10.40227508,-0.06676071,-627120.4913,76.76,1.61
20080820,20388.7891,20388.7891,183899.44,-420.9777445,-109.3226243,582.4004,21676.5306,21368.25506,-709.6308,20979.91796,-1931.3398,-7.033825157,-0.053064098,-577003.3376,76.93,1.61
20080821,20762.6504,20350.4805,171151.92,-470.5029256,-118.2109326,580.7793,21554.20011,21197.04119,-901.2598,20779.78788,-2122.8594,-7.096616135,-0.068226457,-636780.0472,76.08,1.61
20080825,20739.4805,20739.4805,191542.64,-447.0870062,-56.10984762,716.1895,21511.39906,21118.99901,-55.791,20768.62968,-844.9609,-4.521358548,-0.034518458,-371567.037,76.81,1.61
20080826,20849.0801,20785.8008,138290.07,-427.4855342,-45.94157827,387.7597,21468.0906,21038.73105,125.9903,20793.82774,-1047.539,-3.785893149,-0.026996597,-310522.9133,77.27,1.61
20080827,21104.5605,21104.5605,194572.6,-374.7047908,9.105044308,408.0605,21467.76966,21021.11406,980.3516,20989.89806,-420.4902,-1.805265409,0.007985215,-164978.0664,77.04,1.61
20080828,21546.9395,20857.0293,218759.92,-368.3645094,-16.03495119,689.9102,21420.58103,20989.01094,41.0293,20998.10392,-887.0507,-3.08952858,-0.019652572,-576680.7801,77.15,1.61
20080829,21289.6992,21223.9902,204789.72,-336.0970523,31.67241146,502.0214,21405.46766,20975.92891,869.8301,21172.06994,-379,-0.147603566,0.004764887,-393924.102,77.32,1.61
20080901,20999.3203,20844.1504,121387.47,-335.3514793,-41.19730678,417.7402,21357.92888,20950.50195,514.25,21132.37422,-387.0098,-2.273673506,-0.001163814,-447445.1469,77.66,2.69
20080902,20956.9395,20595.5898,161841.05,-320.0846711,-37.682006,470.9903,21327.88431,20961.68105,-62.3282,21129.53436,-350.25,-0.558203979,0.026522174,-366982.3376,78.03,2.69
20080903,20964.75,20526.7305,166610.22,-340.9635892,-90.88781618,515.7304,21257.13919,20971.75019,-471.5997,20953.60232,-575.5196,-1.651210409,-0.016539821,-505113.2233,78.09,2.69
20080904,20545.3809,20356.5098,156112.06,-369.0379143,-138.505938,264.9707,21174.50503,20917.57226,-1075.2402,20837.0406,-541.1894,-0.46322442,-0.00012652,-655929.3115,78.94,2.69
20080905,19833.8691,19708.3906,258261.46,-423.2200265,-219.3479271,681.0899,21056.29305,20871.69414,-1039.0098,20571.31834,-551.0898,-4.76789505,-0.055509192,-436953.5048,78.88,2.69
20080908,20840.6895,20637.9902,303531.1,-392.1644001,-11.38607462,907.4102,21031.33843,20840.64218,-467.6211,20548.91014,-136.9903,1.972380378,-0.012461174,-603879.3972,79.54,2.69
20080909,20439.4707,20299.9707,194263.4,-387.5476705,-78.94138425,494.2988,20979.88804,20784.0871,-415.2011,20438.63984,99.0489,0.485722863,-0.045358675,-510774.7053,79.51,2.69
20080910,20114.8594,19951.3594,269758.4,-418.708501,-128.6372688,539.75,20886.54435,20637.59296,-1042.6816,20321.5836,-1105.0098,-5.235824887,-0.04637118,-493791.2885,80.21,2.69
20080911,19854.8203,19220.2793,291305.48,-487.0960656,-183.2292813,779.5,20743.89448,20479.23612,-1196.3398,20121.43164,-1667.9395,-7.921196829,-0.088099875,-580207.0389,79.87,2.69
20080912,19432.7207,19157.7305,244576.5,-537.9825739,-155.0833562,367.8203,20611.41886,20288.3371,-1036.5801,20005.35586,-2111.8203,-9.838564077,-0.074303407,-597094.7145,78.94,2.69
20080916,18325.6504,18019.1992,521360.12,-655.6635069,-204.7612722,1333.7012,20391.34176,20027.76699,-1632.6699,19506.62384,-2671.6797,-12.73909437,-0.130300896,-555849.84,79.29,2.69
20080917,18691.3008,17637.1895,439010.72,-793.3141045,-175.6110779,1061.9902,20129.04155,19687.23985,-3157.08,18935.83986,-3624.7011,-17.04787767,-0.143204388,-893412.1842,78.17,2.69
20080918,17120.2305,16283.7197,623765.92,-892.4966079,-176.2341497,1566.251,19891.27196,19391.97989,-2858.6485,18462.37618,-3273.8496,-15.65962392,-0.135217746,-705068.3994,78.19,2.69
20080919,18878.2598,18588.1094,669024.88,-824.7976142,-42.2705999,1695.2696,19837.60135,19285.80489,-672.0488,18450.17814,-1714.7304,-8.148906196,-0.030378785,-357303.0524,76.13,2.69
20080922,19869.0195,19137.6699,373164.44,-738.0695877,-3.012832867,731.3496,19818.03924,19255.69688,243.4785,18506.0379,-952.8613,-4.628897253,-0.055884161,-394976.5675,76.19,2.69
