Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20141203,2936.12,2912.25,4661566.85,106.0996347,161.8366615,115.979,2685.574505,2745.3001,281.988,2854.922,400.448,15.59923042,0.145052365,1505785127,85.03,8.09
20141204,2975.4,2968.88,4268129.28,126.0472116,165.3134959,137.341,2725.457981,2802.0253,381.333,2924.8942,562.935,22.15044684,0.167795459,1728112537,85.4,8.73
20141205,3143.97,3011.94,5248812.6,141.8772595,149.8531728,183.862,2763.49865,2856.1683,370.395,2988.1074,587.662,23.16162198,0.152206241,1704125667,85.77,8.95
20141208,3108.27,3075.7,4844623.44,162.873391,149.5630373,195.181,2810.106492,2916.5306,444.062,3074.7212,715.782,28.21261606,0.174405396,2038338078,85.88,8.336
20141209,3233.1,3074.52,6328745.67,165.8230736,120.1386664,313.311,2838.373779,2958.6658,287.101,3111.3158,523.458,20.26193605,0.123561555,1910207227,85.59,8.3
20141210,3120.21,3058.19,4250187.08,175.3888696,96.47984806,170.856,2874.866371,3008.5186,297.606,3162.1152,572.288,21.6018221,0.144978839,2157474226,85.41,8.25
20141211,3185.16,3158.44,3670916.91,177.8107683,91.701363,95.981,2904.213574,3051.3708,215.463,3177.8474,497.451,18.5231689,0.117559406,2175733656,85.99,8.14
20141212,3182.92,3167.93,3010653.25,178.4968055,81.07868695,71.519,2931.738662,3089.8116,88.876,3191.5158,470.209,17.2679358,0.116939698,2059663309,86.12,8.08
20141215,3176.83,3143.3,2901938.34,178.9147571,70.2468032,82.924,2958.928123,3129.5532,92.343,3184.3852,462.738,16.79940751,0.091161708,2292986019,86.92,7.39
20141216,3221.36,3207.69,3581238.47,184.0775766,92.8338009,95.714,2991.735159,3167.4994,50.521,3223.683,494.583,17.60821897,0.101668825,2434859371,87.39,7.9
20141217,3325.82,3275.74,4481407.7,190.5874144,113.0770504,92.458,3026.864953,3206.8043,253.685,3251.4934,540.786,19.17808705,0.076250417,2700224824,87.41,7.76
20141218,3359.09,3322.23,3559702.07,192.3454422,117.5416326,71.482,3057.251815,3230.9619,124.381,3284.0764,421.987,14.43213609,0.066063007,2553857197,87.59,7.77
20141219,3345.63,3280.92,4112115.9,194.5015558,118.2135366,116.267,3088.291356,3256.7901,200.155,3322.0644,415.618,14.00543007,0.038510071,2839401054,87.81,8.02
20141222,3396.25,3357.66,5498016.71,194.8768179,136.3542199,97.546,3117.452275,3270.9501,201.254,3357.515,290.13,9.345914814,0.084716338,2926073423,87.59,7.99
20141223,3358.8,3316.91,3697360.93,187.4013017,86.94736259,114.866,3137.211487,3292.7512,107.696,3361.8194,200.039,6.401483575,0.031091838,2823469665,87.8,8.55
20141224,3332.15,3188.5,3174495.87,171.8672158,-3.040263498,151.862,3146.085155,3293.6351,-73.017,3335.7768,-22.496,-0.691571564,0.014664815,2571740688,87.75,8.1
20141225,3254.48,3226.32,3097995.47,166.1168155,28.14694894,109.457,3164.116949,3308.8758,-25.179,3333.6752,228.506,7.354760175,0.042630926,2675490332,87.55,7.92
20141226,3343.64,3335.01,3846141.24,168.5268801,113.8536995,118.326,3190.947621,3334.137,99.912,3346.2096,224.293,6.96227836,0.066344075,2855942106,87.95,8.15
20141229,3502.18,3405.84,4250150.37,169.2616614,134.8870457,118.444,3216.1388,3357.9597,72.288,3358.4044,272.443,8.559282843,0.044003756,2501214183,87.58,8.12
20141230,3450.81,3422.17,3282338.73,168.0758785,115.7564887,69.652,3239.130724,3373.3749,63.073,3384.9304,264.327,8.277739102,0.028041789,2328099503,87.62,8.07
20141231,3462.39,3452.5,3459347.6,171.3061753,142.9567666,89.842,3267.185417,3390.6856,208.781,3445.5944,316.477,9.836946589,0.053139127,2473179964,87.68,8.03
20150105,3566.09,3551.51,4511980.98,180.4871296,189.5830505,135.337,3302.838329,3420.247,411.156,3506.8188,338.139,10.23608389,0.070951831,2464970640,88.29,7.83
20150106,3608.43,3587.23,4209621.85,185.5849014,165.2972657,95.995,3335.049822,3446.0362,305.64,3545.8628,280.461,8.345568259,0.067721506,2653470803,88.1,8.03
20150107,3620.92,3601.7,3201912.32,187.681812,133.0786178,69.492,3364.453648,3470.9671,197.951,3583.5298,297.863,8.902256385,0.087509434,2458231347,87.91,8.12
20150108,3650.07,3552.1,2950030.45,180.442653,86.188605,107.845,3383.006539,3494.4006,103.804,3603.8708,176.092,5.204945544,0.09239957,2083508382,87.67,8.08
20150109,3547.57,3536.4,3499826.72,171.7145978,73.51938636,153.358,3398.598583,3526.0344,89.169,3606.4744,152.242,4.48498607,0.059577249,1676926522,87.95,8.09
20150112,3531.52,3461.32,2665671.75,160.2753114,19.35407976,99.205,3409.548813,3543.8501,-20.129,3580.8814,188.652,5.673874049,0.019278649,1683201145,88.24,8.02
20150113,3506.45,3494.77,1871539.65,149.5234224,19.80439356,55.39,3419.500355,3550.6702,-127.501,3555.4776,283.655,8.780841912,0.016671694,1349906510,88.01,8.11
20150114,3522.91,3471.56,1960125.1,138.4688949,4.843111145,75.682,3427.397749,3555.367,-138.636,3527.2042,167.004,5.006987128,0.012810846,1551740179,88.64,8.06
20150115,3501.72,3482.27,2378123.38,136.3426082,37.62066684,121.851,3444.228535,3570.0237,-39.669,3536.1766,158.282,4.593424127,0.019537635,1499517713,88.95,8.05
