Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20101005,9337.43,9332.19,1937879040,58.00884718,-29.51280912,206.16,9407.890305,9497.178,-107.33,9446.556,420.37,4.620267981,-0.008680384,7120278.385,77.81,0.14308
20101006,9588.47,9567,2342529536,73.19451707,122.5720814,174.98,9434.894086,9506.11,65.34,9472.966,593.04,6.518076275,0.012909344,37410000.36,77.43,0.13846
20101007,9661.09,9649.17,1711726208,83.72990496,131.1549166,67.75,9458.695601,9517.959,58.72,9536.058,586.42,6.445316149,0.022007659,35111553.61,77.42,0.13692
20101008,9675.59,9588.88,1479160576,83.37740368,62.03418784,95.93,9471.094116,9529.68,-37.21,9572.988,349.71,3.785080262,-0.001484931,20969134.32,77.2,0.13692
20101012,9648.59,9387.73,1407404672,66.17749637,-51.54471446,262.47,9463.241343,9508.23,-214.5,9574.504,89.33,0.960608905,-0.011280824,5161576.135,77.33,0.13692
20101013,9473.78,9393.52,1439841152,53.13383684,-75.06675877,121.55,9457.552643,9499.005,-92.25,9551.454,-113.05,-1.187929252,-0.016305451,-11854564,77.08,0.13692
20101014,9515.17,9481.51,1709770240,56.66790602,34.56414914,210.93,9469.548582,9501.418,24.13,9529.87,74.01,0.778274357,0.022346718,-2383077.5,76.53,0.13692
20101015,9551.21,9478.64,1437869312,52.14915217,-9.895518727,104.87,9472.472527,9514.508,130.9,9492.958,-125.84,-1.307280526,0.010107102,-4825720.927,76.97,0.13692
20101018,9517.68,9471.48,1048237568,47.87412677,-4.815699731,93.37,9474.950381,9523.934,-90.39,9474.88,-127.6,-1.32556417,0.012363018,-3880704.291,77.15,0.13692
20101019,9490.09,9489.68,1184631808,47.24663818,15.4271961,85.46,9481.093202,9539.773,-49.43,9505.042,-62.66,-0.652564905,0.002168888,-8438295.544,78.19,0.13692
20101020,9399.65,9316.97,1384425856,33.62457005,-121.1540126,222.48,9471.617659,9526.057,-7.04,9500.66,-221.54,-2.306953767,-0.031969482,-10811267.82,77.17,0.13692
